alias,naam,mp_naam,munisipaliteit_naam
Kaapstad,,Cape Town,City of Cape Town
Pretoria-Oos,,Pretoria,City of Tshwane
Pretoria-Noord,Pretoria North,Pretoria,City of Tshwane
Pretoria-Wes,Pretoria West,Pretoria,City of Tshwane
Johannesburg-Suid,Johannesburg South,,City of Johannesburg
Oos-Londen,,East London,Buffalo City
Port Elizabeth,,Nelson Mandela Bay NU,Nelson Mandela Bay
Gqeberha,,Nelson Mandela Bay NU,Nelson Mandela Bay
Bloemfontein,Bloemfontein,Bloemfontein,Mangaung
Durban,,Durban,eThekwini
eThekwini,,Ethekwini NU,eThekwini
Die Strand,Strand,Strand,City of Cape Town
Kaapse Vlakte,Cape Flats,,
